number,Nanoparticle,Coat,Diameter,Concentration,Zeta_potential,Cells,Human_Animal_cells,Cell_Source,Cell_morphology,tissue_source,Exposure_time,Test,Test_indicator,Biochemical_metric,Interference_checked,Colloidal_stability_checked,Positive_control,χ,∑x,No/∑x,NMetal,MW,Noxygen,q,Cell_viability
1,23,0,50,20,11.9,8,1,1,1,7,24,8,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,99.7233
2,23,0,50,40,11.9,8,1,1,1,7,24,8,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,91.0181
3,23,0,50,80,11.9,8,1,1,1,7,24,8,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,82.073
4,23,0,50,160,11.9,8,1,1,1,7,24,8,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,72.6116
5,23,0,50,320,11.9,8,1,1,1,7,24,8,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,61.2689
6,23,0,50,20,11.9,8,1,1,1,7,24,2,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,98.1174
7,23,0,50,40,11.9,8,1,1,1,7,24,2,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,90.2361
8,23,0,50,80,11.9,8,1,1,1,7,24,2,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,77.2176
9,23,0,50,160,11.9,8,1,1,1,7,24,2,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,71.3146
10,23,0,50,320,11.9,8,1,1,1,7,24,2,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,52.5207
11,23,0,50,20,11.9,8,1,1,1,7,48,8,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,76.2805
12,23,0,50,40,11.9,8,1,1,1,7,48,8,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,43.6874
13,23,0,50,80,11.9,8,1,1,1,7,48,8,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,34.5965
14,23,0,50,160,11.9,8,1,1,1,7,48,8,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,40.7012
15,23,0,50,320,11.9,8,1,1,1,7,48,8,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,30.2211
16,23,0,50,20,11.9,8,1,1,1,7,48,2,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,96.5129
17,23,0,50,40,11.9,8,1,1,1,7,48,2,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,67.2707
18,23,0,50,80,11.9,8,1,1,1,7,48,2,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,60.5986
19,23,0,50,16,11.9,8,1,1,1,7,48,2,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,52.3888
20,23,0,50,320,11.9,8,1,1,1,7,48,2,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,41.0763
21,23,0,50,20,11.9,2,1,1,1,2,24,8,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,74.025
22,23,0,50,40,11.9,2,1,1,1,2,24,8,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,73.662
23,23,0,50,80,11.9,2,1,1,1,2,24,8,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,46.349
24,23,0,50,160,11.9,2,1,1,1,2,24,8,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,31.4199
25,23,0,50,320,11.9,2,1,1,1,2,24,8,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,26.2789
26,23,0,50,20,11.9,2,1,1,1,2,24,2,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,85.1989
27,23,0,50,40,11.9,2,1,1,1,2,24,2,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,81.9606
28,23,0,50,80,11.9,2,1,1,1,2,24,2,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,42.2689
29,23,0,50,160,11.9,2,1,1,1,2,24,2,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,34.5477
30,23,0,50,320,11.9,2,1,1,1,2,24,2,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,32.5942
31,23,0,50,20,11.9,2,1,1,1,2,48,8,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,84.8924
32,23,0,50,40,11.9,2,1,1,1,2,48,8,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,60.3393
33,23,0,50,80,11.9,2,1,1,1,2,48,8,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,18.435
34,23,0,50,160,11.9,2,1,1,1,2,48,8,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,14.6518
35,23,0,50,320,11.9,2,1,1,1,2,48,8,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,14.5961
36,23,0,50,20,11.9,2,1,1,1,2,48,2,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,73.7924
37,23,0,50,40,11.9,2,1,1,1,2,48,2,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,54.6956
38,23,0,50,80,11.9,2,1,1,1,2,48,2,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,32.004
39,23,0,50,160,11.9,2,1,1,1,2,48,2,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,21.029
40,23,0,50,320,11.9,2,1,1,1,2,48,2,2,2,1,1,1,1.65,1.65,0.606060606,1,81.38,1,2,21.1862
